H2D,,D2D,,D2H,
0.248896,,0.007744,,0.63904,
0.20448,,0.008416,,0.503488,
0.202176,,0.00912,,0.475328,
0.216128,,0.006784,,0.470848,
0.215616,,0.006784,,0.471296,
0.217504,,0.006848,,0.469152,
0.245184,,0.00688,,0.514048,
0.217824,,0.008928,,0.443712,
0.202848,,0.00896,,0.48416,
0.197472,,0.006976,,0.42576,
0.364832,,0.00688,,1.0409,
0.22352,,0.00896,,0.473888,
0.21696,,0.006944,,0.472096,
0.217536,,0.006912,,0.471008,
0.217408,,0.006752,,0.470688,
0.199712,,0.006848,,0.419104,
0.227424,,0.006816,,0.470464,
0.217632,,0.007104,,0.471936,
0.233504,,0.00672,,0.572704,
0.205152,,0.006752,,0.46976,
0.218176,,0.00672,,0.420128,
0.4296,,0.0088,,1.33174,
0.219808,,0.006752,,0.429248,
0.2184,,0.006752,,0.47088,
0.218016,,0.006848,,0.471264,
0.216096,,0.00688,,0.47088,
0.216288,,0.006752,,0.42992,
0.21824,,0.00672,,0.46864,
0.217152,,0.006944,,0.485728,
0.2176,,0.006752,,0.471328,
0.218336,,0.006944,,0.428064,
0.215776,,0.00704,,0.449088,
0.195392,,0.00672,,0.444128,
0.201024,,0.006976,,0.428608,
0.21872,,0.006784,,0.489312,
0.218048,,0.006816,,0.472384,
0.216352,,0.006816,,0.470624,
0.203744,,0.006752,,0.47104,
0.216608,,0.006912,,0.47136,
0.216736,,0.007104,,0.472704,
0.21664,,0.006848,,0.469568,
0.217056,,0.006816,,0.470496,
0.215936,,0.006944,,0.419936,
0.40112,,0.00672,,1.02138,
0.212224,,0.00672,,0.474432,
0.36368,,0.006816,,1.06317,
0.225632,,0.00688,,0.469632,
0.217504,,0.006784,,0.433152,
0.216864,,0.00704,,0.4704,
0.218048,,0.006944,,0.471072,
0.217888,,0.006752,,0.470752,
0.217472,,0.006784,,0.428096,
0.220672,,0.00672,,0.561472,
0.202816,,0.007008,,0.477152,
0.218208,,0.006752,,0.470016,
0.19936,,0.00688,,0.429376,
0.216288,,0.006816,,0.470016,
0.216064,,0.006784,,0.472352,
0.217152,,0.006784,,0.472416,
0.200288,,0.006912,,0.471552,
0.217152,,0.00688,,0.476256,
0.21728,,0.007072,,0.46912,
0.21744,,0.006784,,0.473024,
0.217408,,0.006752,,0.428544,
0.196608,,0.006784,,0.436736,
0.201024,,0.006912,,0.469408,
0.201664,,0.006784,,0.472224,
0.200768,,0.006784,,0.471552,
0.215968,,0.006848,,0.464768,
0.217248,,0.006912,,0.470592,
0.21776,,0.006784,,0.47008,
0.2,,0.006784,,0.4736,
0.217344,,0.00688,,0.482784,
0.217696,,0.006944,,0.468896,
0.220032,,0.006848,,0.435072,
0.196416,,0.006816,,0.44352,
0.200224,,0.006816,,0.426656,
0.216544,,0.0072,,0.471936,
0.21776,,0.006784,,0.470112,
0.21104,,0.006688,,0.468288,
0.217664,,0.007072,,0.460704,
0.21872,,0.00688,,0.470048,
0.217024,,0.006752,,0.46992,
0.281408,,0.006816,,0.73712,
0.21776,,0.006784,,0.470976,
0.197984,,0.006752,,0.480512,
0.196384,,0.006784,,0.433728,
0.201824,,0.006784,,0.451488,
0.217056,,0.006784,,0.469696,
0.203424,,0.006848,,0.47616,
0.227744,,0.006816,,0.426624,
0.215328,,0.006784,,0.472288,
0.216992,,0.006912,,0.471328,
0.217696,,0.006944,,0.469696,
0.22032,,0.00688,,0.469248,
0.21792,,0.007104,,0.471296,
0.21664,,0.006816,,0.474688,
0.208,,0.006752,,0.572576,
0.228704,,0.00672,,0.477952,
0.200256,,0.007136,,0.46208,
,Ave.
0.221891,,0.00697792,,0.496942,
,Med.
0.217152,,0.006816,,0.4708,
