(KBytes)\(msec.),<Ave.>,H2D,D2D,D2H,<Med.>,H2D,D2D,D2H
0,,0.0531401,0.00306176,0.0542925,,0.049152,0.003072,0.048128
0,,0.0471808,0.00297984,0.04821,,0.048128,0.003072,0.045056
0,,0.0472438,0.00306176,0.0466125,,0.048128,0.003072,0.044032
1,,0.0495021,0.00306176,0.0467354,,0.048672,0.003072,0.045056
1,,0.0443034,0.00308224,0.044329,,0.041984,0.003072,0.044032
1,,0.0527328,0.00310272,0.046848,,0.049152,0.003072,0.045056
1,,0.048073,0.003072,0.0471655,,0.042704,0.003072,0.045056
2,,0.0437747,0.00306176,0.0457216,,0.042048,0.003072,0.045056
2,,0.0455491,0.003072,0.0469402,,0.042336,0.003072,0.045056
2,,0.0445888,0.003072,0.0452096,,0.0424,0.003072,0.045056
5,,0.0480438,0.00306176,0.0503604,,0.044352,0.003072,0.04608
7,,0.0464723,0.00310272,0.0502272,,0.045792,0.003072,0.047104
10,,0.0492416,0.00313344,0.0501043,,0.047664,0.003072,0.048128
12,,0.0571587,0.00321536,0.0572314,,0.05632,0.003072,0.05632
15,,0.0583731,0.00318464,0.0588902,,0.058016,0.003072,0.057344
17,,0.0606352,0.00328704,0.0608051,,0.059392,0.003072,0.058368
20,,0.0645955,0.0032256,0.0605287,,0.061312,0.003072,0.058368
22,,0.0646,0.00326656,0.059904,,0.062608,0.003072,0.059392
25,,0.0645987,0.00335872,0.063232,,0.064384,0.003072,0.06144
50,,0.0817616,0.00354304,0.0826778,,0.079456,0.003072,0.077824
75,,0.0954678,0.00377856,0.0982016,,0.094208,0.004096,0.099328
100,,0.117403,0.00405504,0.116132,,0.120832,0.004096,0.114688
125,,0.134078,0.00432128,0.132956,,0.136304,0.004096,0.131072
150,,0.147302,0.00466944,0.148623,,0.15016,0.00512,0.146432
175,,0.158872,0.0047616,0.164567,,0.159968,0.00512,0.161792
200,,0.175394,0.00500736,0.180275,,0.177456,0.00512,0.177152
225,,0.190457,0.00572415,0.199455,,0.191744,0.006144,0.19456
250,,0.198966,0.00688128,0.215122,,0.194144,0.007168,0.20992
256,,0.20742,0.0073216,0.219781,,0.20904,0.007168,0.217088
512,,0.366013,0.0160666,0.358554,,0.367424,0.016384,0.36352
768,,0.514814,0.0251085,0.506307,,0.514064,0.025088,0.497664
1024,,0.701944,0.0336487,0.735027,,0.711312,0.033792,0.746496
1280,,0.919356,0.0422298,0.974407,,0.914224,0.041984,0.960512
1536,,1.0315,0.0509644,1.054,,1.01813,0.0512,1.03117
1792,,1.20549,0.0595354,1.20651,,1.20611,0.059392,1.16941
2048,,1.47109,0.0681779,1.39021,,1.47917,0.068608,1.40339
2304,,1.79817,0.0766464,1.58191,,1.80139,0.0768,1.56058
2560,,1.9091,0.0856781,1.64596,,1.91778,0.086016,1.62611
5120,,4.10465,0.17238,2.95203,,4.12922,0.172032,2.90048
7680,,6.17234,0.258908,4.42439,,6.23094,0.259072,4.3433
10240,,8.11894,0.345528,5.75212,,8.17115,0.345088,5.64019
12800,,10.3546,0.432681,7.21999,,10.4362,0.433152,7.07942
15360,,12.1581,0.519403,8.53678,,12.2069,0.519168,8.36506
17920,,14.6591,0.610949,10.0221,,14.7026,0.611328,9.81811
20480,,16.1558,0.697979,11.326,,16.2153,0.697344,11.0935
23040,,18.1199,0.785541,12.8317,,18.2424,0.785408,12.5604
25600,,20.3325,0.873677,14.1269,,20.4073,0.872448,13.8383
51200,,41.122,1.74809,28.3101,,41.2737,1.74797,27.671
76800,,60.3348,2.62254,42.2052,,60.7947,2.61632,41.2923
102400,,80.6952,3.49774,55.8291,,81.0828,3.49491,54.7052
128000,,103.235,4.37274,69.9118,,103.84,4.36838,68.329
153600,,123.306,5.2477,83.9022,,123.983,5.24083,82.1468
179200,,143.618,6.12109,98.0845,,144.704,6.11328,95.7891
204800,,163.319,6.99373,111.279,,163.88,6.98675,108.922
230400,,180.762,7.8656,125.48,,181.18,7.86074,122.677
256000,,204.746,8.74795,138.884,,205.633,8.73677,136.044
512000,,402.85,17.4703,277.852,,403.368,17.4648,272.314
