H2D,,D2D,,D2H,
0.146496,,0.006848,,0.306848,
0.146016,,0.006144,,0.297536,
0.145792,,0.006144,,0.299744,
0.142816,,0.00624,,0.296,
0.25568,,0.006208,,0.585824,
0.24272,,0.006432,,0.548,
0.241408,,0.006176,,0.574752,
0.14816,,0.006144,,0.301152,
0.184352,,0.008576,,0.284864,
0.13968,,0.006336,,0.283392,
0.148352,,0.006208,,0.305152,
0.144576,,0.006304,,0.309824,
0.138848,,0.006304,,0.260928,
0.139584,,0.00624,,0.26112,
0.240608,,0.006208,,0.587776,
0.146304,,0.006336,,0.316192,
0.144704,,0.006176,,0.273664,
0.133824,,0.0064,,0.2752,
0.139456,,0.00624,,0.249504,
0.140352,,0.006144,,0.25184,
0.129568,,0.006144,,0.257728,
0.132544,,0.006144,,0.24752,
0.13616,,0.006144,,0.249472,
0.131456,,0.00624,,0.248864,
0.13248,,0.006144,,0.253024,
0.13552,,0.006176,,0.247552,
0.131008,,0.006144,,0.251168,
0.131872,,0.006208,,0.251232,
0.131712,,0.006112,,0.26176,
0.131328,,0.006144,,0.252768,
0.132576,,0.006112,,0.251936,
0.131712,,0.006336,,0.251104,
0.132192,,0.006144,,0.25168,
0.133088,,0.006272,,0.252224,
0.13296,,0.006144,,0.252864,
0.244768,,0.006176,,0.547808,
0.242528,,0.00624,,0.549792,
0.13536,,0.006272,,0.298112,
0.159648,,0.006112,,0.329408,
0.15968,,0.006112,,0.267136,
0.139456,,0.00624,,0.260416,
0.163136,,0.006144,,0.382432,
0.137344,,0.006112,,0.279264,
0.1352,,0.006272,,0.284864,
0.163008,,0.006144,,0.386336,
0.164192,,0.006208,,0.377536,
0.163424,,0.006304,,0.378944,
0.136224,,0.00608,,0.284224,
0.136256,,0.006112,,0.27168,
0.160896,,0.006112,,0.350688,
0.161664,,0.006176,,0.35152,
0.13632,,0.006176,,0.2856,
0.168512,,0.006176,,0.35008,
0.160064,,0.006144,,0.249792,
0.130208,,0.006144,,0.248512,
0.152608,,0.006112,,0.260544,
0.13168,,0.006336,,0.27392,
0.137632,,0.006112,,0.285568,
0.13904,,0.006208,,0.279648,
0.1296,,0.006112,,0.256864,
0.133728,,0.006144,,0.272832,
0.133888,,0.006272,,0.243296,
0.128608,,0.006144,,0.244096,
0.128384,,0.006176,,0.24496,
0.132448,,0.00624,,0.245312,
0.128544,,0.006144,,0.243808,
0.127744,,0.006144,,0.24432,
0.127424,,0.006144,,0.244768,
0.128352,,0.006208,,0.280256,
0.12992,,0.006112,,0.293856,
0.132992,,0.006144,,0.246304,
0.128416,,0.006144,,0.243552,
0.128352,,0.006144,,0.244128,
0.129184,,0.006144,,0.246912,
0.128896,,0.00624,,0.248064,
0.133024,,0.006464,,0.254144,
0.136192,,0.00608,,0.247808,
0.126272,,0.006144,,0.24352,
0.130016,,0.006112,,0.243424,
0.1272,,0.006144,,0.243232,
0.133248,,0.00608,,0.245632,
0.1272,,0.006336,,0.244224,
0.12816,,0.006144,,0.244256,
0.128608,,0.006112,,0.244576,
0.127584,,0.006144,,0.244448,
0.20912,,0.00608,,0.49344,
0.136288,,0.006112,,0.291104,
0.136736,,0.006112,,0.291168,
0.135936,,0.006144,,0.290464,
0.136224,,0.006144,,0.291552,
0.13904,,0.006208,,0.293088,
0.139488,,0.00624,,0.273088,
0.133792,,0.006176,,0.255552,
0.134112,,0.006144,,0.255424,
0.17872,,0.006144,,0.373184,
0.13696,,0.006208,,0.290496,
0.13984,,0.00624,,0.290464,
0.14048,,0.006144,,0.289984,
0.137184,,0.0064,,0.289632,
0.137536,,0.006112,,0.291872,
,Ave.
0.146002,,0.00621664,,0.295431,
,Med.
0.136224,,0.006144,,0.272256,
